filename,source_url,retrieved_at,document_version,audience,department,category,language,institution
01_tong_quan_quy_che_dao_tao.md,https://fos.ussh.vnu.edu.vn/vi/laws/area/Dao-tao-Dai-hoc/,2026-09-19,3626/QĐ-ĐHQGHN ngày 21/10/2022,all,academic_affairs,academic_regulation,vi,VNU
02_dang_ky_hoc_phan_sinh_vien.md,https://student.ulis.vnu.edu.vn/files/modules/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?_wpnonce=c849f2f6f6&attachment_id=4211&dButton=true&file=https%3A%2F%2Fstudent.ulis.vnu.edu.vn%2Ffiles%2Fuploads%2F2025%2F09%2F3626_21.10.2022.-Quy-che-dao-tao-dai-hoc-tai-DHQGHN-ap-dung-tu-khoa-QH2022-5.pdf&oButton=false&pButton=true&pagemode=none&sButton=true,2026-09-19,3626/QĐ-ĐHQGHN - Điều 21,student,academic_affairs,course_registration,vi,VNU
03_hoc_lai_va_cai_thien_diem.md,https://student.ulis.vnu.edu.vn/files/modules/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?_wpnonce=c849f2f6f6&attachment_id=4211&dButton=true&file=https%3A%2F%2Fstudent.ulis.vnu.edu.vn%2Ffiles%2Fuploads%2F2025%2F09%2F3626_21.10.2022.-Quy-che-dao-tao-dai-hoc-tai-DHQGHN-ap-dung-tu-khoa-QH2022-5.pdf&oButton=false&pButton=true&pagemode=none&sButton=true,2026-09-19,3626/QĐ-ĐHQGHN - Điều 21 khoản 4-5,student,academic_affairs,retake_grade_improvement,vi,VNU
04_rut_bot_hoc_phan.md,https://student.ulis.vnu.edu.vn/files/modules/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?_wpnonce=c849f2f6f6&attachment_id=4211&dButton=true&file=https%3A%2F%2Fstudent.ulis.vnu.edu.vn%2Ffiles%2Fuploads%2F2025%2F09%2F3626_21.10.2022.-Quy-che-dao-tao-dai-hoc-tai-DHQGHN-ap-dung-tu-khoa-QH2022-5.pdf&oButton=false&pButton=true&pagemode=none&sButton=true,2026-09-19,3626/QĐ-ĐHQGHN - Điều 23,student,academic_affairs,course_withdrawal,vi,VNU
05_cong_nhan_va_chuyen_doi_tin_chi.md,https://student.ulis.vnu.edu.vn/files/modules/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?_wpnonce=c849f2f6f6&attachment_id=4211&dButton=true&file=https%3A%2F%2Fstudent.ulis.vnu.edu.vn%2Ffiles%2Fuploads%2F2025%2F09%2F3626_21.10.2022.-Quy-che-dao-tao-dai-hoc-tai-DHQGHN-ap-dung-tu-khoa-QH2022-5.pdf&oButton=false&pButton=true&pagemode=none&sButton=true,2026-09-19,3626/QĐ-ĐHQGHN - Điều 22,student,academic_affairs,credit_transfer,vi,VNU
06_trach_nhiem_don_vi_khi_to_chuc_dang_ky.md,https://student.ulis.vnu.edu.vn/files/modules/pdfjs-viewer-shortcode/pdfjs/web/viewer.php?_wpnonce=c849f2f6f6&attachment_id=4211&dButton=true&file=https%3A%2F%2Fstudent.ulis.vnu.edu.vn%2Ffiles%2Fuploads%2F2025%2F09%2F3626_21.10.2022.-Quy-che-dao-tao-dai-hoc-tai-DHQGHN-ap-dung-tu-khoa-QH2022-5.pdf&oButton=false&pButton=true&pagemode=none&sButton=true,2026-09-19,3626/QĐ-ĐHQGHN - Điều 20-21,faculty,academic_affairs,course_registration,vi,VNU
07_dieu_kien_tot_nghiep.md,https://ulis.vnu.edu.vn/dieu-kien-xet-tot-nghiep-tai-truong-dai-hoc-ngoai-ngu-dhqghn/,2026-09-19,Theo 3626/QĐ-ĐHQGHN - Điều 46,student,academic_affairs,graduation,vi,VNU
